ID,Sentence,Label,Prep_sentence,Stemmed_sentence
1,The results in 2nd line treatment show an ORR of 33% with some patients having durable responses resulting in an apparent PFS plateau,0,results line treatment show orr patients durable responses resulting apparent pfs plateau,result line treatment show orr patient durabl respons result appar pf plateau
2,The long duration of response and high durable response rate observed after 6-month minimum follow-up is further substantiated by the 12-months minimum follow-up analysis,0,long duration response high durable response rate observed month minimum follow substantiated months minimum follow analysis,long durat respons high durabl respons rate observ month minimum follow substanti month minimum follow analysi
3,The median OS time in the updated results exceeded 1 year,1,median os time updated results exceeded year,median os time updat result exceed year
4,"Therefore, the clinical benefit in 2nd line treatment is considered clinically meaningful and the magnitude of the effect is significant compared to chemotherapy",0,therefore clinical benefit line treatment considered clinically meaningful magnitude effect significant compared chemotherapy,therefor clinic benefit line treatment consid clinic meaning magnitud effect signific compar chemotherapi
5,"The data provided in 1st line, although preliminary, showed activity of avelumab in mMCC in terms of response rate, and evidence of a similar durable response from the small subset of patients with a longer follow-up compared to 2nd line treatment",0,data provided line although preliminary showed activity avelumab mmcc terms response rate evidence similar durable response small subset patients longer follow compared line treatment,data provid line although preliminari show activ avelumab mmcc term respons rate evid similar durabl respons small subset patient longer follow compar line treatment
6,"Taking into account the intrinsic limitation of single arm studies, the rarity of the disease and the challenges to compare the results with data from historical controls and in the literature, the currently available data are deemed to support the efficacy of avelumab in both pre-treated and chemotherapy-naïve patients",0,taking account intrinsic limitation single arm studies rarity disease challenges compare results data historical controls literature currently available data deemed support efficacy avelumab pre treated chemotherapy naïve patients,take account intrins limit singl arm studi rariti diseas challeng compar result data histor control literatur current avail data deem support efficaci avelumab pre treat chemotherapi naïv patient
7,This medicinal product has been authorised under a so-called ‘conditional approval’ scheme,1,medicinal product authorised called conditional approval scheme,medicin product authoris call condit approv scheme
8,This means that further evidence on this medicinal product is awaited,2,means evidence medicinal product awaited,mean evid medicin product await
9,The European Medicines Agency will review new information on this medicinal product at least every year and this SmPC will be updated as necessary,1,european medicines agency review new information medicinal product least every year smpc updated necessary,european medicin agenc review new inform medicin product least everi year smpc updat necessari
10,The CHMP considers the following measures necessary to address the missing efficacy data for 1st line treatment in the context of a conditional MA:,2,chmp considers following measures necessary address missing efficacy data line treatment context conditional,chmp consid follow measur necessari address miss efficaci data line treatment context condit
11,"In order to confirm the efficacy for chemotherapy-naïve treated patients, the MAH should submit the final results of study EMR 100070-003 – Part B",1,order confirm efficacy chemotherapy naïve treated patients mah submit final results study emr part b,order confirm efficaci chemotherapi naïv treat patient mah submit final result studi emr part b
12,The final results of the study should be submitted by 30th January 2020,1,final results study submitted january,final result studi submit januari
13,The CHMP considers that additional supportive data on efficacy will be provided also from the following post-authorisation safety study: ,1,chmp considers additional supportive data efficacy provided also following post authorisation safety study,chmp consid addit support data efficaci provid also follow post authoris safeti studi
14,• PASS: German real-world cohort study should be submitted as additional PhV activity to address the missing information of safety and efficacy in immune compromised patients,2,pass german real world cohort study submitted additional phv activity address missing information safety efficacy immune compromised patients,pass german real world cohort studi submit addit phv activ address miss inform safeti efficaci immun compromis patient
15,The safety data collected at an earlier data cut remains consistent with longer follow up ,0,safety data collected earlier data cut remains consistent longer follow,safeti data collect earlier data cut remain consist longer follow
16,No major concerns have been identified in the updated analysis,0,major concerns identified updated analysis,major concern identifi updat analysi
17,The safety of avelumab in the proposed indication appears to be acceptable and manageable with the recommendations as proposed in the SmPC and the RMP,0,safety avelumab proposed indication appears acceptable manageable recommendations proposed smpc rmp,safeti avelumab propos indic appear accept manag recommend propos smpc rmp
18,The safety risks associated with immune related adverse reactions are managed through additional risk minimisation activities implemented in the form of educational materials that will inform HCPs and patients on how to identify and properly handle suspected immune related ADRs,1,safety risks associated immune related adverse reactions managed additional risk minimisation activities implemented form educational materials inform hcps patients identify properly handle suspected immune related adrs,safeti risk associ immun relat advers reaction manag addit risk minimis activ implement form educ materi inform hcp patient identifi properli handl suspect immun relat adr
19,The CHMP considers the following measures necessary to address issues related to safety: ,2,chmp considers following measures necessary address issues related safety,chmp consid follow measur necessari address issu relat safeti
20,• PASS: German real-world cohort study should be submitted as additional PhV activity to address the missing information of safety and efficacy in immune compromised patients,2,pass german real world cohort study submitted additional phv activity address missing information safety efficacy immune compromised patients,pass german real world cohort studi submit addit phv activ address miss inform safeti efficaci immun compromis patient
21,Biosimilarity of CT-P10 and MabThera is considered demonstrated based on the efficacy data.,0,biosimilarity ct mabthera considered demonstrated based efficacy data,biosimilar ct mabthera consid demonstr base efficaci data
22,"In the pivotal RA trial, efficacy results in terms of DAS28 and ACR were shown to be comparable between CT-P10 and MabThera.",0,pivotal ra trial efficacy results terms acr shown comparable ct mabthera,pivot ra trial efficaci result term acr shown compar ct mabthera
23,"In addition, PK data discussed support the extrapolation to the autoimmune indications MPA/GPA.",0,addition pk data discussed support extrapolation autoimmune indications mpa gpa,addit pk data discuss support extrapol autoimmun indic mpa gpa
